source	split	pnx	seg	no seg	total
Hayy ibn Yaqdhan	train	<s>.</s>	324	1	325
Hayy ibn Yaqdhan	train	<s>,</s>	331	131	462
Hayy ibn Yaqdhan	train	<s>؛</s>	41	28	69
Hayy ibn Yaqdhan	train	<s>!</s>	15	0	15
Hayy ibn Yaqdhan	train	<s>؟</s>	18	2	20
ALC	train	<s>.</s>	113	2	115
ALC	train	<s>,</s>	541	36	577
ALC	train	<s>؛</s>	1	17	18
ALC	train	<s>!</s>	27	2	29
ALC	train	<s>؟</s>	10	0	10
Sara	train	<s>.</s>	841	37	878
Sara	train	<s>,</s>	721	553	1274
Sara	train	<s>؛</s>	28	39	67
Sara	train	<s>!</s>	170	3	173
Sara	train	<s>؟</s>	238	19	257
Kalima	train	<s>.</s>	1462	59	1521
Kalima	train	<s>,</s>	602	1533	2135
Kalima	train	<s>؛</s>	38	35	73
Kalima	train	<s>!</s>	26	6	32
Kalima	train	<s>؟</s>	85	8	93
Wikipedia	train	<s>.</s>	3654	76	3730
Wikipedia	train	<s>,</s>	1762	3691	5453
Wikipedia	train	<s>؛</s>	96	99	195
Wikipedia	train	<s>!</s>	0	2	2
Wikipedia	train	<s>؟</s>	18	22	40
New Testament	train	<s>.</s>	419	1687	2106
New Testament	train	<s>,</s>	1	1980	1981
New Testament	train	<s>؛</s>	0	0	0
New Testament	train	<s>!</s>	6	348	354
New Testament	train	<s>؟</s>	1	382	383
Arabian Nights	train	<s>.</s>	97	0	97
Arabian Nights	train	<s>,</s>	0	1	1
Arabian Nights	train	<s>؛</s>	0	0	0
Arabian Nights	train	<s>!</s>	0	0	0
Arabian Nights	train	<s>؟</s>	1	0	1
My Language Sings	train	<s>.</s>	188	80	268
My Language Sings	train	<s>,</s>	0	24	24
My Language Sings	train	<s>؛</s>	0	0	0
My Language Sings	train	<s>!</s>	7	2	9
My Language Sings	train	<s>؟</s>	27	3	30
Quran	test	<s>.</s>	0	0	0
Quran	test	<s>,</s>	0	0	0
Quran	test	<s>؛</s>	0	0	0
Quran	test	<s>!</s>	0	0	0
Quran	test	<s>؟</s>	0	0	0
Mama Makes Bread	test	<s>.</s>	24	8	32
Mama Makes Bread	test	<s>,</s>	0	4	4
Mama Makes Bread	test	<s>؛</s>	0	0	0
Mama Makes Bread	test	<s>!</s>	0	0	0
Mama Makes Bread	test	<s>؟</s>	0	7	7
Green Library	test	<s>.</s>	202	4	206
Green Library	test	<s>,</s>	93	259	352
Green Library	test	<s>؛</s>	8	7	15
Green Library	test	<s>!</s>	9	6	15
Green Library	test	<s>؟</s>	5	5	10
WikiNews	test	<s>.</s>	73	1	74
WikiNews	test	<s>,</s>	32	34	66
WikiNews	test	<s>؛</s>	0	0	0
WikiNews	test	<s>!</s>	1	0	1
WikiNews	test	<s>؟</s>	1	0	1
Curriculum	test	<s>.</s>	1040	6	1046
Curriculum	test	<s>,</s>	299	759	1058
Curriculum	test	<s>؛</s>	0	0	0
Curriculum	test	<s>!</s>	4	1	5
Curriculum	test	<s>؟</s>	0	0	0
ZAEBUC	test	<s>.</s>	92	0	92
ZAEBUC	test	<s>,</s>	61	18	79
ZAEBUC	test	<s>؛</s>	0	0	0
ZAEBUC	test	<s>!</s>	0	0	0
ZAEBUC	test	<s>؟</s>	6	0	6
Spacetoon Songs	test	<s>.</s>	49	0	49
Spacetoon Songs	test	<s>,</s>	15	9	24
Spacetoon Songs	test	<s>؛</s>	0	0	0
Spacetoon Songs	test	<s>!</s>	0	0	0
Spacetoon Songs	test	<s>؟</s>	0	0	0
Diwan	test	<s>.</s>	101	8	109
Diwan	test	<s>,</s>	0	6	6
Diwan	test	<s>؛</s>	0	0	0
Diwan	test	<s>!</s>	0	0	0
Diwan	test	<s>؟</s>	1	0	1
Hanging Odes	test	<s>.</s>	0	0	0
Hanging Odes	test	<s>,</s>	0	2	2
Hanging Odes	test	<s>؛</s>	0	0	0
Hanging Odes	test	<s>!</s>	0	0	0
Hanging Odes	test	<s>؟</s>	0	0	0
Old Testament	test	<s>.</s>	110	415	525
Old Testament	test	<s>,</s>	0	419	419
Old Testament	test	<s>؛</s>	0	0	0
Old Testament	test	<s>!</s>	0	14	14
Old Testament	test	<s>؟</s>	0	61	61
QALB	test	<s>.</s>	90	0	90
QALB	test	<s>,</s>	28	54	82
QALB	test	<s>؛</s>	0	2	2
QALB	test	<s>!</s>	4	0	4
QALB	test	<s>؟</s>	13	1	14
Hindawi	test	<s>.</s>	2284	65	2349
Hindawi	test	<s>,</s>	381	3555	3936
Hindawi	test	<s>؛</s>	443	48	491
Hindawi	test	<s>!</s>	176	10	186
Hindawi	test	<s>؟</s>	158	47	205
BTEC	test	<s>.</s>	214	18	232
BTEC	test	<s>,</s>	0	67	67
BTEC	test	<s>؛</s>	0	0	0
BTEC	test	<s>!</s>	0	0	0
BTEC	test	<s>؟</s>	117	0	117
ArabicMMLU	test	<s>.</s>	1540	145	1685
ArabicMMLU	test	<s>,</s>	1	94	95
ArabicMMLU	test	<s>؛</s>	3	2	5
ArabicMMLU	test	<s>!</s>	1	0	1
ArabicMMLU	test	<s>؟</s>	14	1	15
Hadith	test	<s>.</s>	67	0	67
Hadith	test	<s>,</s>	131	36	167
Hadith	test	<s>؛</s>	0	0	0
Hadith	test	<s>!</s>	0	0	0
Hadith	test	<s>؟</s>	0	0	0
Majed	test	<s>.</s>	427	43	470
Majed	test	<s>,</s>	332	253	585
Majed	test	<s>؛</s>	0	0	0
Majed	test	<s>!</s>	15	1	16
Majed	test	<s>؟</s>	71	0	71
Hayy ibn Yaqdhan	test	<s>.</s>	81	0	81
Hayy ibn Yaqdhan	test	<s>,</s>	41	15	56
Hayy ibn Yaqdhan	test	<s>؛</s>	3	0	3
Hayy ibn Yaqdhan	test	<s>!</s>	1	0	1
Hayy ibn Yaqdhan	test	<s>؟</s>	2	0	2
ALC	test	<s>.</s>	37	0	37
ALC	test	<s>,</s>	36	11	47
ALC	test	<s>؛</s>	1	0	1
ALC	test	<s>!</s>	15	0	15
ALC	test	<s>؟</s>	0	0	0
Sara	test	<s>.</s>	147	9	156
Sara	test	<s>,</s>	147	146	293
Sara	test	<s>؛</s>	6	16	22
Sara	test	<s>!</s>	30	0	30
Sara	test	<s>؟</s>	58	2	60
Kalima	test	<s>.</s>	201	8	209
Kalima	test	<s>,</s>	61	235	296
Kalima	test	<s>؛</s>	11	6	17
Kalima	test	<s>!</s>	1	0	1
Kalima	test	<s>؟</s>	10	1	11
Wikipedia	test	<s>.</s>	272	3	275
Wikipedia	test	<s>,</s>	235	314	549
Wikipedia	test	<s>؛</s>	4	4	8
Wikipedia	test	<s>!</s>	0	0	0
Wikipedia	test	<s>؟</s>	0	1	1
New Testament	test	<s>.</s>	89	338	427
New Testament	test	<s>,</s>	0	501	501
New Testament	test	<s>؛</s>	0	0	0
New Testament	test	<s>!</s>	2	69	71
New Testament	test	<s>؟</s>	0	70	70
Arabian Nights	test	<s>.</s>	22	0	22
Arabian Nights	test	<s>,</s>	0	0	0
Arabian Nights	test	<s>؛</s>	0	0	0
Arabian Nights	test	<s>!</s>	0	0	0
Arabian Nights	test	<s>؟</s>	0	0	0
Majed	STask	<s>.</s>	452	40	492
Majed	STask	<s>,</s>	24	149	173
Majed	STask	<s>؛</s>	0	0	0
Majed	STask	<s>!</s>	66	0	66
Majed	STask	<s>؟</s>	91	1	92
Kalima	STask	<s>.</s>	223	5	228
Kalima	STask	<s>,</s>	50	189	239
Kalima	STask	<s>؛</s>	5	3	8
Kalima	STask	<s>!</s>	4	0	4
Kalima	STask	<s>؟</s>	5	0	5
Green Library	STask	<s>.</s>	72	0	72
Green Library	STask	<s>,</s>	71	113	184
Green Library	STask	<s>؛</s>	5	3	8
Green Library	STask	<s>!</s>	8	0	8
Green Library	STask	<s>؟</s>	3	8	11
Hindawi	STask	<s>.</s>	625	18	643
Hindawi	STask	<s>,</s>	216	985	1201
Hindawi	STask	<s>؛</s>	101	41	142
Hindawi	STask	<s>!</s>	16	2	18
Hindawi	STask	<s>؟</s>	33	7	40
Wikipedia	STask	<s>.</s>	551	12	563
Wikipedia	STask	<s>,</s>	499	819	1318
Wikipedia	STask	<s>؛</s>	12	11	23
Wikipedia	STask	<s>!</s>	0	1	1
Wikipedia	STask	<s>؟</s>	2	1	3
Curriculum	STask	<s>.</s>	393	6	399
Curriculum	STask	<s>,</s>	89	279	368
Curriculum	STask	<s>؛</s>	0	0	0
Curriculum	STask	<s>!</s>	2	0	2
Curriculum	STask	<s>؟</s>	0	0	0
ArabicMMLU	STask	<s>.</s>	1077	154	1231
ArabicMMLU	STask	<s>,</s>	0	20	20
ArabicMMLU	STask	<s>؛</s>	0	4	4
ArabicMMLU	STask	<s>!</s>	0	0	0
ArabicMMLU	STask	<s>؟</s>	58	0	58
Spacetoon Songs	STask	<s>.</s>	59	2	61
Spacetoon Songs	STask	<s>,</s>	4	7	11
Spacetoon Songs	STask	<s>؛</s>	0	0	0
Spacetoon Songs	STask	<s>!</s>	0	0	0
Spacetoon Songs	STask	<s>؟</s>	0	0	0
Quran	dev	<s>.</s>	0	0	0
Quran	dev	<s>,</s>	0	0	0
Quran	dev	<s>؛</s>	0	0	0
Quran	dev	<s>!</s>	0	0	0
Quran	dev	<s>؟</s>	0	0	0
Green Library	dev	<s>.</s>	44	0	44
Green Library	dev	<s>,</s>	50	82	132
Green Library	dev	<s>؛</s>	2	1	3
Green Library	dev	<s>!</s>	1	0	1
Green Library	dev	<s>؟</s>	2	0	2
WikiNews	dev	<s>.</s>	106	0	106
WikiNews	dev	<s>,</s>	45	28	73
WikiNews	dev	<s>؛</s>	0	0	0
WikiNews	dev	<s>!</s>	0	1	1
WikiNews	dev	<s>؟</s>	0	0	0
Curriculum	dev	<s>.</s>	884	13	897
Curriculum	dev	<s>,</s>	234	601	835
Curriculum	dev	<s>؛</s>	0	0	0
Curriculum	dev	<s>!</s>	5	0	5
Curriculum	dev	<s>؟</s>	0	0	0
ZAEBUC	dev	<s>.</s>	89	0	89
ZAEBUC	dev	<s>,</s>	66	7	73
ZAEBUC	dev	<s>؛</s>	0	0	0
ZAEBUC	dev	<s>!</s>	0	0	0
ZAEBUC	dev	<s>؟</s>	0	0	0
Spacetoon Songs	dev	<s>.</s>	30	9	39
Spacetoon Songs	dev	<s>,</s>	12	8	20
Spacetoon Songs	dev	<s>؛</s>	0	0	0
Spacetoon Songs	dev	<s>!</s>	0	0	0
Spacetoon Songs	dev	<s>؟</s>	0	0	0
Diwan	dev	<s>.</s>	15	0	15
Diwan	dev	<s>,</s>	0	52	52
Diwan	dev	<s>؛</s>	0	0	0
Diwan	dev	<s>!</s>	0	1	1
Diwan	dev	<s>؟</s>	0	1	1
Hanging Odes	dev	<s>.</s>	0	0	0
Hanging Odes	dev	<s>,</s>	0	2	2
Hanging Odes	dev	<s>؛</s>	0	0	0
Hanging Odes	dev	<s>!</s>	0	0	0
Hanging Odes	dev	<s>؟</s>	4	0	4
Old Testament	dev	<s>.</s>	138	445	583
Old Testament	dev	<s>,</s>	0	390	390
Old Testament	dev	<s>؛</s>	0	0	0
Old Testament	dev	<s>!</s>	0	5	5
Old Testament	dev	<s>؟</s>	0	28	28
QALB	dev	<s>.</s>	113	0	113
QALB	dev	<s>,</s>	39	127	166
QALB	dev	<s>؛</s>	2	2	4
QALB	dev	<s>!</s>	6	0	6
QALB	dev	<s>؟</s>	19	0	19
Hindawi	dev	<s>.</s>	2090	96	2186
Hindawi	dev	<s>,</s>	340	2767	3107
Hindawi	dev	<s>؛</s>	261	80	341
Hindawi	dev	<s>!</s>	35	10	45
Hindawi	dev	<s>؟</s>	87	22	109
BTEC	dev	<s>.</s>	209	15	224
BTEC	dev	<s>,</s>	0	89	89
BTEC	dev	<s>؛</s>	0	0	0
BTEC	dev	<s>!</s>	0	0	0
BTEC	dev	<s>؟</s>	117	2	119
ArabicMMLU	dev	<s>.</s>	353	217	570
ArabicMMLU	dev	<s>,</s>	10	63	73
ArabicMMLU	dev	<s>؛</s>	4	4	8
ArabicMMLU	dev	<s>!</s>	1	0	1
ArabicMMLU	dev	<s>؟</s>	34	42	76
Hadith	dev	<s>.</s>	53	0	53
Hadith	dev	<s>,</s>	121	21	142
Hadith	dev	<s>؛</s>	0	0	0
Hadith	dev	<s>!</s>	0	0	0
Hadith	dev	<s>؟</s>	0	0	0
Majed	dev	<s>.</s>	1022	331	1353
Majed	dev	<s>,</s>	183	100	283
Majed	dev	<s>؛</s>	0	0	0
Majed	dev	<s>!</s>	170	7	177
Majed	dev	<s>؟</s>	95	29	124
Hayy ibn Yaqdhan	dev	<s>.</s>	73	2	75
Hayy ibn Yaqdhan	dev	<s>,</s>	96	25	121
Hayy ibn Yaqdhan	dev	<s>؛</s>	5	7	12
Hayy ibn Yaqdhan	dev	<s>!</s>	1	0	1
Hayy ibn Yaqdhan	dev	<s>؟</s>	0	1	1
Suleiman Al Issa	dev	<s>.</s>	16	2	18
Suleiman Al Issa	dev	<s>,</s>	0	0	0
Suleiman Al Issa	dev	<s>؛</s>	0	0	0
Suleiman Al Issa	dev	<s>!</s>	2	0	2
Suleiman Al Issa	dev	<s>؟</s>	3	0	3
ALC	dev	<s>.</s>	30	0	30
ALC	dev	<s>,</s>	57	47	104
ALC	dev	<s>؛</s>	1	3	4
ALC	dev	<s>!</s>	0	0	0
ALC	dev	<s>؟</s>	3	0	3
Sara	dev	<s>.</s>	206	23	229
Sara	dev	<s>,</s>	123	136	259
Sara	dev	<s>؛</s>	4	13	17
Sara	dev	<s>!</s>	21	3	24
Sara	dev	<s>؟</s>	85	1	86
Kalima	dev	<s>.</s>	150	4	154
Kalima	dev	<s>,</s>	46	171	217
Kalima	dev	<s>؛</s>	1	0	1
Kalima	dev	<s>!</s>	3	1	4
Kalima	dev	<s>؟</s>	4	2	6
Wikipedia	dev	<s>.</s>	391	4	395
Wikipedia	dev	<s>,</s>	113	366	479
Wikipedia	dev	<s>؛</s>	7	7	14
Wikipedia	dev	<s>!</s>	1	0	1
Wikipedia	dev	<s>؟</s>	0	0	0
New Testament	dev	<s>.</s>	85	372	457
New Testament	dev	<s>,</s>	0	468	468
New Testament	dev	<s>؛</s>	0	0	0
New Testament	dev	<s>!</s>	0	48	48
New Testament	dev	<s>؟</s>	0	67	67
Arabian Nights	dev	<s>.</s>	20	0	20
Arabian Nights	dev	<s>,</s>	0	0	0
Arabian Nights	dev	<s>؛</s>	0	0	0
Arabian Nights	dev	<s>!</s>	0	0	0
Arabian Nights	dev	<s>؟</s>	0	0	0
